News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@BBCNews,Sun Apr 01 21:51:54 +0000 2018,-0.3182,0.0,0.796,0.204,35,Silsden gas loss: Thousands face third day without supplies https://t.co/BR0ru9BvBh
@BBCNews,Sun Apr 01 19:26:52 +0000 2018,-0.4767,0.0,0.693,0.307,36,Broken neck girl begins to walk again https://t.co/As2pxfUom6
@BBCNews,Sun Apr 01 19:15:00 +0000 2018,-0.6908,0.0,0.561,0.439,37,London murder rate overtakes New York's https://t.co/JLyng8LWhO
@BBCNews,Sun Apr 01 16:30:13 +0000 2018,-0.8316,0.0,0.63,0.37,38,"RT @BBCSteveR: UK-Russia war of words over Salisbury:

🇬🇧 about 🇷🇺
reckless, despicable, culpable, malign, aggression, flagrant, barbaric,…"
@BBCNews,Sun Apr 01 16:23:44 +0000 2018,0.0,0.0,1.0,0.0,39,Eddie Izzard calls for Labour to 'stamp out' anti-Semitism https://t.co/vnZHIRCgKt
@BBCNews,Sun Apr 01 15:36:01 +0000 2018,0.0,0.0,1.0,0.0,40,"😆😂🤣

https://t.co/qjCDvEa0BI"
@BBCNews,Sun Apr 01 15:32:21 +0000 2018,0.0,0.0,1.0,0.0,41,Two unaccounted for after Knock house blaze https://t.co/T6zIznpzGZ
@BBCNews,Sun Apr 01 15:09:21 +0000 2018,0.0,0.0,1.0,0.0,42,"The Queen, Prince William and Catherine have attended an Easter service at Windsor Castle

https://t.co/e9XSQsTtz0 https://t.co/9djlDBmqUP"
@BBCNews,Sun Apr 01 15:04:47 +0000 2018,-0.4939,0.0,0.873,0.127,43,RT @BBCSteveR: Why's Russian TV showing the inventor of the sandwich (the Earl of Sandwich) in a report on the Skripals? Anchor: blaming Ru…
@BBCNews,Sun Apr 01 13:42:11 +0000 2018,-0.34,0.0,0.789,0.211,44,Baby 'in cardiac arrest' at West Midland Safari Park https://t.co/RPgsXzxtEh
@BBCNews,Sun Apr 01 13:28:50 +0000 2018,-0.0772,0.12,0.747,0.133,45,"Did you get caught out on April Fools day?

@RogerJ_01 and @BabitaBBC did on @BBCBreakfast thanks to a newspaper re… https://t.co/XPejEoUgsY"
@BBCNews,Sun Apr 01 13:13:26 +0000 2018,0.0,0.0,1.0,0.0,46,Queen attends Easter service at Windsor without Prince Philip https://t.co/CIc7tydUZz
@BBCNews,Sun Apr 01 12:41:08 +0000 2018,0.0,0.0,1.0,0.0,47,"Three WW2 aircraft - a Spitfire T9, Spitfire Mk IX and a Hawker Hurricane X - fly over wartime airfield Biggin Hill… https://t.co/BYe6r7JrYu"
@BBCNews,Sun Apr 01 12:16:24 +0000 2018,0.0,0.0,1.0,0.0,48,RT @BBCWorld: Inside the armoured green train used by Kim Jong-un on his trip to China https://t.co/C7djAnrGEC
@BBCNews,Sun Apr 01 12:07:40 +0000 2018,0.0,0.0,1.0,0.0,49,"RT @BBCScotlandNews: Bottle return scheme ""should be UK-wide"" https://t.co/JYZtsOAQd7 https://t.co/idYxOPNPxJ"
@BBCNews,Sun Apr 01 10:30:22 +0000 2018,0.0,0.0,1.0,0.0,50,"RT @BBCWorld: See you later Alligator. 🐊 

https://t.co/hHMns7Dpwo https://t.co/f9TkLjsMot"
@BBCNews,Sun Apr 01 09:59:25 +0000 2018,0.0,0.0,1.0,0.0,51,RT @bbcweather: Last night saw the second (and final) #BlueMoon of 2018 and our #WeatherWatchers managed to find some breaks in the cloud t…
@BBCNews,Sun Apr 01 09:58:48 +0000 2018,0.0,0.0,1.0,0.0,52,"RT @BBCSport: It was a controlled performance from Anthony Joshua last night.

But Joseph Parker took him all the way.

Read👉https://t.co/u…"
@BBCNews,Sun Apr 01 09:52:39 +0000 2018,-0.2263,0.0,0.863,0.137,53,RT @BBCScotlandNews: The forgotten Scot who was the RAF's founding father https://t.co/GiGYlx9Nx3 https://t.co/PjGjY2MOhU
@BBCNews,Sun Apr 01 09:48:01 +0000 2018,-0.4767,0.0,0.659,0.341,54,Woman arrested after Edinburgh firearms incident https://t.co/Yby0jbo9QY
@BBCNews,Sun Apr 01 09:48:00 +0000 2018,-0.6705,0.0,0.667,0.333,55,Northern Ireland boy killed in Tenerife hit and run https://t.co/dQlwuVFmfa
@BBCNews,Sun Apr 01 09:35:26 +0000 2018,-0.8225,0.0,0.368,0.632,56,Man charged as Haringey murder victim named https://t.co/kkEvBzHilX
@BBCNews,Sun Apr 01 09:23:50 +0000 2018,0.7783,0.3,0.643,0.057,57,"PM uses Easter message to praise ""the triumph of the human spirit"" as she recalls people affected by last year's te… https://t.co/bf5fS2q5ql"
@BBCNews,Sun Apr 01 09:06:46 +0000 2018,-0.2023,0.202,0.526,0.272,58,"Northamptonshire suffering ""massive increase"" in gang activity https://t.co/IrfQZwJRrn"
@BBCNews,Sun Apr 01 08:35:59 +0000 2018,0.3612,0.102,0.898,0.0,59,"RT @BBC_HaveYourSay: Have you been invited to #harryandmeghan's #RoyalWedding on 19 May? 
If you have, we'd like to hear from you. Email ha…"
@BBCNews,Sun Apr 01 04:51:05 +0000 2018,0.0,0.0,1.0,0.0,60,Child burial fees waived in England https://t.co/ttub5URCE2
@BBCNews,Sun Apr 01 03:24:48 +0000 2018,0.0,0.0,1.0,0.0,61,PM reflects on Britain's 'dark moments' in Easter message https://t.co/OGCZM4XDGP
@BBCNews,Sun Apr 01 02:31:40 +0000 2018,0.2732,0.208,0.792,0.0,62,Increased fines for 'litter louts' come into effect https://t.co/rxLeoXf4tC
@BBCNews,Sun Apr 01 02:05:13 +0000 2018,0.7243,0.464,0.536,0.0,63,Labour Party 'not connected' to abusive anti-Jewish messages https://t.co/IfvZULgE9E
@BBCNews,Sun Apr 01 00:12:31 +0000 2018,0.0,0.0,1.0,0.0,64,Royal wedding: Prince Harry and Meghan Markle choose flowers https://t.co/bEV8gIGXKN
@BBCNews,Sat Mar 31 23:55:06 +0000 2018,0.4019,0.231,0.769,0.0,65,Special needs cash shortfall 'leaves thousands of pupils unplaced' https://t.co/cdDPMiO6XY
@BBCNews,Sat Mar 31 23:39:58 +0000 2018,0.0,0.0,1.0,0.0,66,Anthony Joshua beats Joseph Parker on points to add WBO world heavyweight title https://t.co/wK0SKDNiWQ
@BBCNews,Sat Mar 31 22:02:34 +0000 2018,-0.6124,0.125,0.5,0.375,67,Spy poisoning: UK plays down Russia complaint at plane search https://t.co/HCb3NrprDP
@BBCNews,Sat Mar 31 20:46:02 +0000 2018,-0.4939,0.202,0.426,0.372,68,Women found dead six hours after Basingstoke crash 'were amazing' https://t.co/z3VZRL4XnE
@BBCNews,Sat Mar 31 18:42:11 +0000 2018,-0.1779,0.092,0.783,0.124,69,8-year-old Alexa is going blind — she's created a list of things she wants to see before that happens ❤️ https://t.co/dr2Nrg3wkp
@BBCNews,Sat Mar 31 18:41:46 +0000 2018,0.0,0.0,1.0,0.0,70,RT @ChrisMasonBBC: Christine Shawcroft will be replaced on Labour's National Executive Committee by Eddie Izzard
@BBCNews,Sat Mar 31 18:33:40 +0000 2018,0.0,0.0,1.0,0.0,71,Shawcroft quits Labour ruling body https://t.co/P87CTEHuQT
@BBCNews,Sat Mar 31 16:25:04 +0000 2018,0.1531,0.122,0.778,0.1,72,"RT @BBCSport: An inspirational young man. 👏

Billy Monger, who had both his legs amputated after a crash last year, finished third on his B…"
@BBCNews,Sat Mar 31 16:24:27 +0000 2018,0.6647,0.267,0.628,0.105,73,"RT @BBCSteveR: After reading today's Russian papers, I have some good news &amp; some bad news. The good news: this isn't a new cold war. The b…"
@BBCNews,Sat Mar 31 16:03:08 +0000 2018,-0.5983,0.0,0.795,0.205,74,"RT @BBCSport: FT: Brighton 0-2 Leicester

It all happened late on at the Amex! Brighton miss a penalty, Leicester score two.

https://t.co/…"
@BBCNews,Sat Mar 31 16:03:02 +0000 2018,0.5994,0.225,0.691,0.084,75,"RT @BBCSport: FT: West Brom 1-2 Burnley 

It's eight successive defeats for West Brom.

A great result for Burnley though, who tighten thei…"
@BBCNews,Sat Mar 31 16:02:59 +0000 2018,0.0,0.0,1.0,0.0,76,"RT @BBCSport: FT: Watford 2-2 Bournemouth 

Loads of drama in this one! 

Four goals, including a stoppage time equaliser, plus one of the…"
@BBCNews,Sat Mar 31 16:02:41 +0000 2018,0.7269,0.264,0.736,0.0,77,"RT @BBCSport: FT: Manchester United 2-0 Swansea City 

Two goals in the first-half gives #MUFC a comfortable home victory.

https://t.co/tJ…"
@BBCNews,Sat Mar 31 16:02:35 +0000 2018,0.7777,0.312,0.688,0.0,78,"RT @BBCSport: FT: Newcastle United 1-0 Huddersfield Town 

Ayoze Perez wins it for #NUFC! 

#NEWHUD https://t.co/tJig6BnJWN https://t.co/xN…"
@BBCNews,Sat Mar 31 15:55:16 +0000 2018,-0.7906,0.0,0.611,0.389,79,UK soldier killed fighting IS in Syria named as Sgt Matt Tonroe https://t.co/FdCOYujDst
@BBCNews,Sat Mar 31 15:37:06 +0000 2018,0.7269,0.433,0.567,0.0,80,Redcar rescue: Four saved from sea by human chain https://t.co/ezQYF3dHZZ
@BBCNews,Sat Mar 31 15:10:17 +0000 2018,0.0772,0.053,0.947,0.0,81,RT @BBC_HaveYourSay: NHS at 70: We want your stories and memories of the #NHS from across the decades. Everyone from patients to doctors ar…
@BBCNews,Sat Mar 31 14:40:27 +0000 2018,-0.8957,0.0,0.393,0.607,82,IS 'Beatles duo' complaints anger murdered David Haines's daughter https://t.co/fSB2vzlxuu
@BBCNews,Sat Mar 31 14:23:16 +0000 2018,0.0,0.0,1.0,0.0,83,RT @BBCLondonNews: Man finds 'glistening' jewelled ring on London train https://t.co/g4uQpYVjZA https://t.co/MpiyoQ03t8
@BBCNews,Sat Mar 31 13:48:54 +0000 2018,0.0772,0.173,0.667,0.16,84,"RT @BBCSport: Former British boxing champion Chris Edwards has died at the age of 41.
https://t.co/1xhQwEeUDW https://t.co/WRC7zfykVO"
@BBCNews,Sat Mar 31 13:25:58 +0000 2018,0.6486,0.249,0.751,0.0,85,RT @BBCWorld: There's a good reason why this woman was asked to play the flute during brain surgery 🧠 https://t.co/5SjPgUBZ77
@BBCNews,Sat Mar 31 12:59:20 +0000 2018,-0.296,0.154,0.577,0.269,86,University of Oxford 'sexist' alumni invite criticised https://t.co/nBHmGz6jEQ
@BBCNews,Sat Mar 31 12:56:58 +0000 2018,0.34,0.118,0.882,0.0,87,"Actor Eddie Redmayne, who played Stephen Hawking in The Theory of Everything, to give reading at physicist's funera… https://t.co/uSV397t5jM"
@BBCNews,Sat Mar 31 12:42:05 +0000 2018,0.0772,0.198,0.541,0.261,88,Teachers raise prospect of national strike over pay https://t.co/awjrrajhlT
